Task_ID,Employee_ID,Project_ID,Task,Time_Taken_Hours,Completion_Date
1,93,2,Performance Testing,9,2025-02-26
2,143,3,Testing,3,2025-03-08
3,171,4,Meeting,12,2025-03-12
4,52,3,Design Review,8,2025-01-07
5,8,3,Testing,4,2025-02-04
6,29,2,Code Review,8,2025-01-05
7,189,2,Code Review,3,2025-01-21
8,145,2,UI Enhancement,3,2025-01-01
9,88,3,Feature Development,5,2025-01-17
10,35,4,Meeting,11,2025-03-20
11,70,3,Bug Fixing,6,2025-02-25
12,179,4,Security Patching,4,2025-02-07
13,148,4,Meeting,12,2025-02-09
14,61,3,Feature Development,5,2025-03-06
15,185,4,Database Optimization,4,2025-03-17
16,1,2,Testing,2,2025-01-16
17,123,4,Database Optimization,11,2025-01-02
18,182,3,Testing,1,2025-01-07
19,175,5,Database Optimization,5,2025-03-23
20,103,5,Database Optimization,2,2025-01-22
21,181,1,Security Patching,2,2025-03-03
22,90,4,UI Enhancement,2,2025-02-12
23,160,2,Testing,11,2025-01-24
24,77,5,Bug Fixing,1,2025-03-15
25,146,1,Meeting,4,2025-02-11
26,168,3,Feature Development,9,2025-02-24
27,76,3,Bug Fixing,10,2025-02-11
28,175,4,Security Patching,4,2025-03-16
29,84,4,Meeting,4,2025-01-16
30,52,5,Design Review,3,2025-01-12
31,123,2,Design Review,6,2025-02-27
32,154,1,Database Optimization,11,2025-03-19
33,16,1,Feature Development,1,2025-01-01
34,40,1,Database Optimization,7,2025-02-14
35,86,2,UI Enhancement,12,2025-01-23
36,170,4,Code Review,12,2025-01-26
37,161,3,Design Review,5,2025-03-25
38,130,4,Security Patching,10,2025-03-28
39,93,5,Design Review,5,2025-02-24
40,136,1,Security Patching,5,2025-01-20
41,47,4,Security Patching,1,2025-01-28
42,187,2,Code Review,5,2025-01-22
43,172,1,Performance Testing,8,2025-02-11
44,84,2,Database Optimization,12,2025-02-08
45,194,3,Database Optimization,4,2025-01-09
46,100,4,Design Review,5,2025-03-25
47,48,5,Testing,3,2025-02-06
48,38,5,Security Patching,3,2025-01-25
49,193,1,Bug Fixing,7,2025-02-13
50,109,5,Code Review,8,2025-03-18
51,97,2,Meeting,7,2025-02-21
52,84,5,Design Review,1,2025-02-12
53,19,4,Meeting,4,2025-01-03
54,194,4,Meeting,4,2025-02-12
55,73,2,Bug Fixing,10,2025-03-18
56,192,5,UI Enhancement,11,2025-03-17
57,31,1,Security Patching,5,2025-02-14
58,182,3,Meeting,6,2025-01-30
59,176,4,Testing,1,2025-03-17
60,95,2,Bug Fixing,8,2025-01-29
61,121,1,Security Patching,11,2025-02-11
62,98,2,Feature Development,6,2025-01-22
63,154,2,Feature Development,4,2025-02-27
64,163,5,Design Review,7,2025-02-19
65,78,3,UI Enhancement,11,2025-02-05
66,179,2,Meeting,5,2025-02-12
67,14,3,UI Enhancement,7,2025-02-10
68,192,2,Security Patching,10,2025-03-02
69,150,2,UI Enhancement,9,2025-01-02
70,3,4,Security Patching,9,2025-03-19
71,38,1,Feature Development,8,2025-03-14
72,89,4,Database Optimization,4,2025-01-09
73,49,2,Bug Fixing,12,2025-03-24
74,93,3,Performance Testing,5,2025-02-17
75,96,2,Design Review,9,2025-01-15
76,109,5,Database Optimization,7,2025-02-22
77,149,1,Security Patching,5,2025-02-08
78,175,2,Code Review,2,2025-01-30
79,90,1,Design Review,12,2025-03-15
80,24,3,Code Review,6,2025-03-18
81,125,1,Security Patching,11,2025-02-26
82,177,5,Performance Testing,1,2025-01-23
83,186,4,Security Patching,8,2025-02-12
84,33,3,Design Review,2,2025-02-03
85,49,3,Bug Fixing,1,2025-01-01
86,73,4,Database Optimization,3,2025-03-20
87,174,3,Bug Fixing,7,2025-02-01
88,73,1,Feature Development,2,2025-02-19
89,6,2,UI Enhancement,3,2025-02-12
90,35,5,Performance Testing,8,2025-02-11
91,186,2,Design Review,10,2025-01-24
92,173,5,Meeting,8,2025-01-09
93,155,2,Performance Testing,8,2025-03-09
94,95,4,Meeting,5,2025-02-24
95,145,5,UI Enhancement,7,2025-03-03
96,152,4,Bug Fixing,1,2025-02-16
97,137,3,Meeting,2,2025-01-31
98,87,2,Design Review,1,2025-01-02
99,104,2,UI Enhancement,1,2025-01-28
100,72,1,Bug Fixing,9,2025-01-25
101,142,5,Code Review,1,2025-01-08
102,173,3,Code Review,7,2025-03-18
103,108,4,UI Enhancement,3,2025-02-10
104,153,2,Security Patching,9,2025-01-08
105,85,4,Feature Development,5,2025-02-25
106,193,4,Performance Testing,7,2025-01-26
107,178,2,Performance Testing,6,2025-03-24
108,171,5,Bug Fixing,10,2025-02-21
109,179,5,Performance Testing,10,2025-03-17
110,195,4,Performance Testing,1,2025-01-17
111,49,4,Code Review,11,2025-03-22
112,37,2,Code Review,2,2025-03-09
113,18,2,Design Review,1,2025-03-03
114,65,4,Meeting,6,2025-02-04
115,120,5,Performance Testing,8,2025-02-23
116,1,2,Feature Development,11,2025-01-18
117,122,1,Performance Testing,1,2025-03-14
118,85,4,Design Review,12,2025-01-24
119,55,2,Feature Development,10,2025-01-27
120,175,5,Database Optimization,1,2025-03-10
121,61,5,Database Optimization,8,2025-02-27
122,12,3,Code Review,7,2025-03-01
123,39,5,Bug Fixing,1,2025-03-10
124,69,2,Code Review,11,2025-03-15
125,53,1,Code Review,4,2025-01-28
126,127,1,Performance Testing,7,2025-01-28
127,99,2,Design Review,11,2025-02-28
128,139,1,UI Enhancement,1,2025-02-20
129,198,1,Design Review,5,2025-02-21
130,10,5,Bug Fixing,12,2025-02-14
131,132,3,Performance Testing,11,2025-01-02
132,37,1,Bug Fixing,5,2025-02-26
133,143,1,Bug Fixing,9,2025-02-28
134,82,4,Bug Fixing,12,2025-03-09
135,3,1,Meeting,5,2025-02-21
136,87,2,Code Review,1,2025-01-11
137,76,5,Security Patching,7,2025-03-21
138,68,1,Performance Testing,5,2025-01-24
139,30,2,Performance Testing,12,2025-03-26
140,31,5,Meeting,10,2025-01-24
141,6,3,Feature Development,12,2025-01-02
142,58,3,Testing,8,2025-02-26
143,118,5,Bug Fixing,10,2025-01-17
144,86,5,Design Review,2,2025-02-17
145,180,2,Code Review,10,2025-01-12
146,107,4,Design Review,1,2025-01-01
147,144,5,Performance Testing,4,2025-02-03
148,70,3,Security Patching,7,2025-02-08
149,127,4,Feature Development,12,2025-01-03
150,62,5,Meeting,5,2025-02-20
151,117,4,Feature Development,10,2025-03-16
152,27,5,Testing,10,2025-01-14
153,48,4,Feature Development,8,2025-03-16
154,42,4,UI Enhancement,4,2025-01-02
155,140,3,Feature Development,7,2025-01-24
156,33,4,Feature Development,5,2025-01-16
157,93,1,Design Review,1,2025-01-04
158,75,3,Feature Development,9,2025-02-27
159,81,5,Testing,8,2025-01-17
160,58,1,Design Review,4,2025-02-09
161,150,5,Testing,3,2025-01-12
162,85,1,Feature Development,10,2025-03-05
163,70,5,Testing,7,2025-02-20
164,14,3,Feature Development,8,2025-03-17
165,14,2,Design Review,1,2025-01-07
166,153,5,Design Review,1,2025-03-23
167,140,5,Meeting,6,2025-01-09
168,100,1,Testing,6,2025-02-22
169,82,2,Feature Development,7,2025-03-27
170,90,5,Feature Development,7,2025-02-26
171,171,4,Design Review,6,2025-03-23
172,80,3,Bug Fixing,12,2025-02-14
173,89,2,Performance Testing,4,2025-03-02
174,178,5,Security Patching,1,2025-01-14
175,27,1,Feature Development,2,2025-02-22
176,134,5,Bug Fixing,3,2025-01-04
177,41,4,Database Optimization,4,2025-01-30
178,10,5,Performance Testing,1,2025-03-05
179,91,5,Feature Development,2,2025-01-06
180,80,3,Code Review,2,2025-01-30
181,145,1,Bug Fixing,9,2025-03-01
182,78,3,Code Review,10,2025-01-29
183,5,2,Design Review,4,2025-02-04
184,96,5,UI Enhancement,9,2025-02-15
185,180,1,UI Enhancement,7,2025-01-15
186,150,4,Code Review,4,2025-01-11
187,3,3,Feature Development,6,2025-01-19
188,152,3,Security Patching,11,2025-01-25
189,142,2,Bug Fixing,10,2025-03-22
190,64,2,Bug Fixing,11,2025-03-05
191,46,2,Code Review,3,2025-01-27
192,155,1,UI Enhancement,11,2025-01-12
193,156,1,Code Review,11,2025-03-17
194,95,2,Feature Development,5,2025-02-28
195,66,2,Code Review,2,2025-03-21
196,34,1,Code Review,1,2025-03-21
197,84,5,UI Enhancement,7,2025-03-04
198,131,1,Database Optimization,1,2025-03-18
199,136,1,Code Review,12,2025-03-18
200,85,5,Testing,1,2025-01-13
201,30,2,Meeting,5,2025-02-19
202,40,4,Feature Development,4,2025-03-20
203,200,2,Bug Fixing,7,2025-01-05
204,46,2,UI Enhancement,2,2025-03-09
205,152,3,Performance Testing,3,2025-01-07
206,145,4,Performance Testing,8,2025-03-06
207,90,4,Security Patching,11,2025-03-13
208,45,1,Bug Fixing,4,2025-02-23
209,55,1,Feature Development,5,2025-03-05
210,200,4,Code Review,11,2025-03-07
211,100,5,Design Review,10,2025-03-12
212,36,5,Design Review,12,2025-02-28
213,164,2,Design Review,5,2025-03-13
214,178,3,Testing,1,2025-03-15
215,42,5,Testing,3,2025-02-23
216,199,5,Meeting,11,2025-02-21
217,96,2,Testing,9,2025-03-01
218,103,1,Performance Testing,11,2025-03-26
219,114,1,Bug Fixing,6,2025-02-20
220,101,1,Feature Development,7,2025-02-20
221,105,3,Testing,8,2025-02-17
222,180,2,Database Optimization,3,2025-01-24
223,161,4,Performance Testing,8,2025-01-19
224,35,5,Bug Fixing,4,2025-03-02
225,200,1,Meeting,10,2025-02-21
226,92,3,UI Enhancement,9,2025-02-24
227,185,3,Security Patching,3,2025-01-02
228,107,2,Bug Fixing,10,2025-01-22
229,45,5,Testing,3,2025-01-15
230,31,5,Security Patching,4,2025-02-21
231,192,5,Feature Development,6,2025-02-28
232,193,2,Security Patching,11,2025-01-23
233,20,2,Testing,8,2025-02-14
234,164,4,Database Optimization,7,2025-03-04
235,155,1,UI Enhancement,9,2025-03-12
236,71,2,Feature Development,10,2025-02-15
237,24,3,Performance Testing,3,2025-02-10
238,50,4,UI Enhancement,1,2025-01-13
239,16,5,UI Enhancement,5,2025-01-10
240,168,2,Feature Development,1,2025-02-22
241,4,4,Bug Fixing,7,2025-01-12
242,63,4,Database Optimization,4,2025-01-27
243,81,3,Performance Testing,5,2025-01-12
244,109,3,Meeting,1,2025-01-22
245,58,3,Security Patching,9,2025-02-12
246,7,4,Bug Fixing,9,2025-01-24
247,91,2,Meeting,6,2025-02-12
248,71,4,Database Optimization,1,2025-02-07
249,48,5,Feature Development,4,2025-02-17
250,148,5,Bug Fixing,4,2025-03-17
251,126,1,Database Optimization,11,2025-02-09
252,139,1,Performance Testing,11,2025-02-10
253,176,5,Meeting,8,2025-01-21
254,88,2,Database Optimization,5,2025-01-07
255,167,1,Bug Fixing,2,2025-01-27
256,142,3,Security Patching,5,2025-01-14
257,6,5,UI Enhancement,12,2025-02-09
258,189,3,Database Optimization,5,2025-03-23
259,117,5,Code Review,7,2025-03-18
260,69,4,Database Optimization,9,2025-03-23
261,195,4,Code Review,8,2025-02-26
262,57,2,Meeting,10,2025-02-22
263,115,2,Feature Development,8,2025-01-03
264,8,1,Meeting,1,2025-01-28
265,74,4,Security Patching,8,2025-02-09
266,22,5,Meeting,2,2025-03-01
267,26,3,UI Enhancement,12,2025-01-24
268,149,1,Design Review,9,2025-03-28
269,51,1,Testing,7,2025-01-08
270,141,5,UI Enhancement,3,2025-03-21
271,152,4,Code Review,10,2025-01-05
272,49,5,UI Enhancement,7,2025-03-24
273,127,3,Security Patching,4,2025-01-06
274,128,2,UI Enhancement,8,2025-01-17
275,163,4,Database Optimization,12,2025-02-22
276,127,2,Code Review,10,2025-03-07
277,196,5,Testing,2,2025-03-19
278,85,1,Performance Testing,6,2025-02-04
279,106,5,Design Review,7,2025-01-13
280,103,2,Meeting,1,2025-02-14
281,188,3,UI Enhancement,8,2025-02-10
282,156,2,Design Review,10,2025-03-17
283,196,2,Performance Testing,2,2025-03-17
284,8,5,Database Optimization,6,2025-01-23
285,136,5,Code Review,12,2025-01-13
286,134,5,UI Enhancement,8,2025-02-18
287,69,3,Design Review,7,2025-01-19
288,156,1,Performance Testing,7,2025-01-08
289,177,4,Database Optimization,9,2025-03-28
290,165,1,Performance Testing,5,2025-02-25
291,72,1,Meeting,2,2025-01-13
292,145,4,Design Review,10,2025-02-11
293,44,1,UI Enhancement,2,2025-03-08
294,104,1,UI Enhancement,9,2025-03-04
295,28,3,Feature Development,12,2025-03-13
296,64,3,Testing,8,2025-03-21
297,139,3,Bug Fixing,12,2025-01-18
298,200,4,Database Optimization,9,2025-01-02
299,192,1,Security Patching,6,2025-02-12
300,135,5,Meeting,12,2025-02-23
301,185,3,Bug Fixing,1,2025-01-20
302,193,4,Testing,10,2025-01-08
303,78,3,Feature Development,11,2025-01-13
304,41,5,Database Optimization,8,2025-02-06
305,25,5,Feature Development,1,2025-02-05
306,84,4,Meeting,5,2025-02-22
307,180,2,UI Enhancement,9,2025-02-03
308,16,1,Code Review,2,2025-01-22
309,153,3,Testing,2,2025-01-09
310,59,2,Performance Testing,7,2025-02-14
311,100,4,Feature Development,11,2025-02-15
312,88,2,Code Review,4,2025-03-13
313,180,4,Security Patching,9,2025-01-05
314,16,1,Performance Testing,6,2025-01-14
315,97,4,Feature Development,4,2025-02-11
316,157,5,Performance Testing,4,2025-01-28
317,123,4,UI Enhancement,11,2025-03-04
318,33,2,Code Review,6,2025-02-11
319,187,2,Meeting,4,2025-02-17
320,5,3,Meeting,5,2025-01-21
321,52,4,Database Optimization,7,2025-03-19
322,190,4,Feature Development,4,2025-03-27
323,106,1,Feature Development,1,2025-03-17
324,56,1,Feature Development,4,2025-03-05
325,8,5,UI Enhancement,11,2025-01-23
326,73,4,Bug Fixing,2,2025-02-28
327,78,3,Testing,11,2025-01-20
328,37,2,Security Patching,9,2025-03-03
329,87,5,Performance Testing,6,2025-03-07
330,164,5,Code Review,5,2025-01-09
331,155,3,Database Optimization,3,2025-03-23
332,12,3,Testing,5,2025-02-22
333,30,4,Design Review,5,2025-01-30
334,7,1,Bug Fixing,1,2025-01-29
335,86,5,Bug Fixing,2,2025-03-25
336,77,5,Testing,1,2025-03-11
337,116,4,Database Optimization,10,2025-03-23
338,10,4,Database Optimization,10,2025-03-27
339,164,1,Code Review,6,2025-01-22
340,54,2,Database Optimization,11,2025-02-11
341,149,1,UI Enhancement,6,2025-02-23
342,183,1,Meeting,5,2025-03-11
343,137,2,Design Review,10,2025-03-06
344,156,4,Design Review,1,2025-02-04
345,15,2,UI Enhancement,9,2025-02-02
346,61,3,Performance Testing,2,2025-01-10
347,40,2,Performance Testing,4,2025-02-19
348,120,1,UI Enhancement,9,2025-03-04
349,30,3,Design Review,1,2025-03-21
350,151,2,Security Patching,3,2025-01-06
351,116,1,Database Optimization,6,2025-01-24
352,116,3,Database Optimization,10,2025-03-18
353,36,4,Code Review,1,2025-01-27
354,198,3,Testing,10,2025-03-01
355,168,5,Testing,3,2025-01-21
356,141,4,Feature Development,8,2025-02-26
357,111,4,Design Review,4,2025-01-21
358,118,2,Performance Testing,8,2025-02-06
359,62,2,Bug Fixing,5,2025-03-13
360,4,4,UI Enhancement,2,2025-01-25
361,127,1,Code Review,7,2025-02-07
362,103,4,Bug Fixing,4,2025-03-06
363,53,3,UI Enhancement,9,2025-01-31
364,2,4,Design Review,5,2025-01-13
365,25,2,Code Review,6,2025-01-27
366,123,4,Meeting,7,2025-02-12
367,65,5,Testing,2,2025-03-09
368,83,2,Code Review,4,2025-02-19
369,147,5,Security Patching,5,2025-02-24
370,90,1,Testing,12,2025-03-23
371,171,2,Testing,3,2025-02-25
372,41,3,Database Optimization,3,2025-01-31
373,12,2,Testing,2,2025-01-16
374,187,3,Security Patching,6,2025-01-27
375,115,5,Performance Testing,7,2025-02-07
376,86,4,Feature Development,10,2025-03-23
377,35,4,Bug Fixing,10,2025-03-26
378,17,5,Database Optimization,4,2025-03-12
379,88,2,UI Enhancement,6,2025-01-19
380,87,1,Performance Testing,2,2025-03-19
381,177,5,Security Patching,11,2025-02-23
382,119,3,Testing,8,2025-01-20
383,152,5,Design Review,4,2025-01-16
384,88,1,Database Optimization,8,2025-01-06
385,66,5,Meeting,12,2025-02-17
386,200,1,Testing,9,2025-02-12
387,173,5,Design Review,8,2025-02-18
388,48,4,Design Review,2,2025-02-02
389,135,5,Feature Development,10,2025-02-25
390,179,4,Code Review,4,2025-02-26
391,83,2,Testing,11,2025-01-24
392,116,5,UI Enhancement,12,2025-01-01
393,12,1,Security Patching,1,2025-03-07
394,169,4,Code Review,7,2025-02-14
395,189,2,Meeting,8,2025-01-21
396,108,3,Database Optimization,9,2025-02-06
397,81,5,Feature Development,11,2025-01-11
398,11,3,Meeting,4,2025-01-04
399,141,5,Code Review,10,2025-03-13
400,57,4,Code Review,7,2025-01-10
401,121,5,Testing,9,2025-01-16
402,23,3,Code Review,11,2025-02-02
403,38,5,Feature Development,5,2025-02-17
404,35,4,UI Enhancement,10,2025-02-09
405,11,5,Design Review,1,2025-02-04
406,65,4,Database Optimization,11,2025-01-23
